0.0	1421.5
5	1351.5
10	1205.4
15.0	1063.4
20.0	1014.1
25.0	991.8
30.0	1022.3
35.0	1001.9
40.0	1004.4
45.0	1008.0
50.0	1012.1
55.0	1021.7
60.0	1009.9
65.0	1016.0
70.0	998.4
75.0	995.6
80.0	994.4
85.0	1008.5
90.0	993.6
95.0	1012.8
100.0	1035.2
105.0	1015.5
110.0	1025.7
115.0	990.7
120.0	1009.6
125.0	1006.7
130.0	1012.1
135.0	1000.6
140.0	1017.7
145.0	1003.7
150.0	1010.3
155.0	1014.6
160.0	1017.7
165.0	1019.8
170.0	998.1
175.0	1011.5
180.0	1016.5
185.0	1015.5
190.0	1025.2
195.0	997.7
200.0	1010.9
205.0	1012.8
210.0	1000.3
215.0	991.9
220.0	1003.0
225.0	998.3
230.0	989.9
235.0	1010.1
240.0	1023.9
245.0	996.1
250.0	1020.3
255.0	1027.9
260.0	1025.6
265.0	1002.2
270.0	1019.6
275.0	1031.6
280.0	1010.8
285.0	1024.8
290.0	1014.9
295.0	1016.5
300.0	995.0
305.0	1006.9
310.0	1030.8
315.0	994.0
320.0	1024.9
325.0	1002.1
330.0	1017.0
335.0	995.0
340.0	1021.3
345.0	999.4
350.0	1020.4
355.0	1005.8
360.0	998.7
365.0	1017.6
370.0	1013.6
375.0	1011.5
380.0	1023.0
385.0	996.9
390.0	995.4
395.0	1022.6
400.0	1008.3
405.0	1008.8
410.0	1018.4
415.0	1009.1
420.0	1015.4
425.0	1005.5
430.0	1003.7
435.0	1007.3
440.0	1008.2
445.0	1026.1
450.0	1018.0
455.0	1004.8
460.0	999.6
465.0	1007.7
470.0	1016.3
475.0	993.9
480.0	996.5
485.0	1017.2
490.0	1018.3
495.0	1019.8
